2 Semi: 1.0 Eccen: 0.0 MeanAn0: 0.0
generatorType seed java.util.Random@133314b
---------------------------------
Time Xpos Ypos Zpos Radius Theta
---------------------------------
0.0 1.6740312635960571E10 2.9015167921631107E9 -3.4952577536518316E9 1.0 0.08705340971251015
1.9025875E-5 1.6740333048628555E10 2.901553859179542E9 -3.4952661418910794E9 1.0 0.08705340971251015
3.805175E-5 1.6739266458264795E10 2.9028593161674523E9 -3.4947950796281905E9 1.0 0.08724515731099586
5.707762499999999E-5 1.673804367846221E10 2.9037723540004E9 -3.494215489835533E9 1.0 0.08743690490948156
7.61035E-5 1.6739475768310099E10 2.90002078132655E9 -3.4945880715458884E9 1.0 0.08743690490948156
9.5129375E-5 1.6738291276738997E10 2.9011509431029778E9 -3.4941775656055565E9 1.0 0.08762865250796725
1.1415525E-4 1.6738314835854815E10 2.901245860279854E9 -3.494148229592959E9 1.0 0.08762865250796725
1.33181125E-4 1.673734532640101E10 2.9025700959463673E9 -3.493716673221654E9 1.0 0.08782040010645296
1.52207E-4 1.673638640106622E10 2.903915576206709E9 -3.4932919431731377E9 1.0 0.08801214770493868
1.7123287499999998E-4 1.6736412535678522E10 2.903740667271459E9 -3.493292121353794E9 1.0 0.08801214770493868
1.9025874999999996E-4 1.6735509931875952E10 2.9052641462146206E9 -3.492879978898116E9 1.0 0.08820389530342437
2.0928462499999995E-4 1.6734208018410692E10 2.906462158561911E9 -3.4922449620740247E9 1.0 0.08839564290191007
2.2831049999999994E-4 1.673543895100904E10 2.902587285380835E9 -3.492605230869724E9 1.0 0.08839564290191007
2.4733637499999993E-4 1.6734481922120094E10 2.9039002426561646E9 -3.492180360834183E9 1.0 0.08858739050039578
2.6636224999999994E-4 1.6734494998440588E10 2.903923927455786E9 -3.4921783253733253E9 1.0 0.08858739050039578
